"AveExpr"	"LogFC_MouseC2C12"	"FDR_MouseC2C12"	"LogFC_HumanCell"	"FDR_HumanCell"	"LogFC_mean"
"PTTG1IP"	3.60974196740402	-1.77319461826307	1.20787879333251e-21	-1.6732750013143	3.49558430871549e-23	-3.44646961957737
"PPP1R14B"	3.60516982919607	3.22404564475002	2.45762276771416e-15	0.82553740963204	0.00773726066666037	4.04958305438206
"CNN2"	3.5887847866832	-2.80863864243189	4.35917060182124e-05	-4.01717612609064	1.66420419525735e-08	-6.82581476852253
"NEDD8"	3.5826999254546	3.30856762607042	1.52350941044242e-39	1.21921559068542	7.50665118482275e-16	4.52778321675584
"TUBB2A"	3.57192700433324	1.069304526463	0.000496298745921627	3.33565047347624	7.8645480483796e-22	4.40495499993924
"EIF4B"	3.56982037102757	-2.15534747173834	2.08837196988187e-26	-2.33761230751787	3.35803259460438e-32	-4.49295977925621
"VCP"	3.55292996187206	2.51969903855584	6.32831838165471e-11	0.977602488131924	0.00180882884043765	3.49730152668776
"BTG1"	3.53299357973473	3.87915653228972	1.00160821375633e-25	2.24656071385309	1.30900231319768e-15	6.12571724614281
"CHCHD2"	3.53185362381182	1.47514118417492	0.00101952660912058	2.96161763131806	2.85469511983168e-13	4.43675881549298
"FLNC"	3.53002810105714	-1.43843271722026	4.77235150458646e-13	-1.58362195286865	7.91148606181591e-20	-3.02205467008891
"GARS"	3.50587543151617	-2.23761274138864	1.60003647754216e-16	-2.81666553453337	7.73559300798432e-25	-5.05427827592201
"PSMC2"	3.48956562898922	2.13231574379168	2.00265075273383e-28	1.64306335585215	1.46759094608009e-24	3.77537909964383
"RBM3"	3.47655737641215	2.27894760600242	1.39482636276538e-09	2.41027450553941	3.45406836879419e-12	4.68922211154183
"COPS6"	3.46624669689167	1.79471272286486	4.30366801285427e-14	1.19481297946393	1.64969964802346e-09	2.98952570232879
"PDLIM1"	3.46073543882078	2.14644769700758	1.43630906168314e-15	3.21608395498031	2.35730911282559e-28	5.36253165198789
"IGFBP6"	3.45158040872467	1.24715687187407	1.06251368805144e-09	2.20439019792551	2.71991509292955e-23	3.45154706979959
"AABR07038250.1"	3.42564605170804	-5.01039067081935	0.000399836085765007	-5.297592174462	0.000124699514936227	-10.3079828452814
"CNIH1"	3.42464139864782	1.3344403149256	2.95795016221821e-11	1.89447446712987	1.6643940129563e-20	3.22891478205548
"AXL"	3.42050317055373	2.66501895736933	1.77774043222274e-10	1.41355239349736	4.60603507154788e-05	4.07857135086669
"H2AFZ"	3.39674176342924	2.72276229629876	3.00306142207258e-09	2.89280372118973	7.45133205105354e-12	5.61556601748848
"ACTR3"	3.37921682243831	-1.7456554564911	6.02734162349223e-15	-1.52892990407277	1.14728275449717e-14	-3.27458536056387
"CLIC4"	3.37105672326139	-3.05702378618686	2.40306581973006e-24	-4.58077086440045	7.42167396188027e-40	-7.63779465058731
"NQO1"	3.37070324282284	6.5369530097684	6.23023544432387e-40	1.56550909685493	5.42856087738629e-09	8.10246210662334
"ATP5J2"	3.36801765749563	3.16148220369539	2.6203077880493e-16	2.53242979049127	1.16445196298118e-15	5.69391199418667
"ATP5MF"	3.36801765749563	3.16148220369539	2.6203077880493e-16	2.53242979049127	1.16445196298118e-15	5.69391199418667
