"AveExpr"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_HumanCell"	"FDR_HumanCell"	"LogFC_mean"
"GM21293"	1.8696928547147	-4.34416144307884	6.31662780217674e-14	-4.24489648327567	2.75811414946275e-13	-8.58905792635451
"GM21304"	1.8696928547147	-4.34416144307884	6.31662780217674e-14	-4.24489648327567	2.75811414946275e-13	-8.58905792635451
"GM21312"	1.8696928547147	-4.34416144307884	6.31662780217674e-14	-4.24489648327567	2.75811414946275e-13	-8.58905792635451
"GM4340"	1.8696928547147	-4.34416144307884	6.31662780217674e-14	-4.24489648327567	2.75811414946275e-13	-8.58905792635451
"GM6763"	1.8696928547147	-4.34416144307884	6.31662780217674e-14	-4.24489648327567	2.75811414946275e-13	-8.58905792635451
"GM8764"	1.8696928547147	-4.34416144307884	6.31662780217674e-14	-4.24489648327567	2.75811414946275e-13	-8.58905792635451
"MYOM2"	1.86943710436221	1.04928677408334	0.0210224807491515	4.09807226657416	1.42388734111517e-14	5.1473590406575
"CNOT6"	1.86845518234591	3.06986537380946	1.88743256322664e-14	2.46020923119431	1.75423936447348e-10	5.53007460500377
"G6PDX"	1.8681938981348	-2.76722003871846	1.54631611389216e-14	-2.32012412648661	3.17351738818667e-11	-5.08734416520508
"COL12A1"	1.86414679833264	-0.920850004038055	0.0282918312958504	-3.71206775390825	3.22581706700305e-14	-4.6329177579463
"HMGA1B"	1.86362376087933	1.41891294938802	0.000625066366446364	1.55677629249275	0.000220192851114432	2.97568924188076
"TES"	1.86277838320765	-1.98219279460593	8.64853966266992e-15	-1.22899363815817	1.74971093580734e-07	-3.2111864327641
"SSU72"	1.85974775258371	-2.18815065933691	1.52687839517059e-35	-1.57642422336944	1.81168533483235e-25	-3.76457488270635
"FOXJ3"	1.85775635698284	-2.14677739252014	2.06379847979847e-05	-2.11024166734054	3.34578575404139e-05	-4.25701905986068
"EIF4G1"	1.85292164894772	-1.37509397426001	3.52817295409662e-13	-1.78967779703899	4.91893289762992e-18	-3.164771771299
"DEGS1"	1.85157765097175	-2.14445633153159	1.18811409160895e-19	-2.52705462933415	3.25813799454245e-23	-4.67151096086574
"BCAS2"	1.85107676410471	-2.38663638301623	4.46495031598085e-11	-2.13096473243311	3.05764802151173e-09	-4.51760111544934
"TXNL4A"	1.84706419956061	-1.92870958583703	2.2488068129679e-08	-1.42425286324824	1.61191320117421e-05	-3.35296244908527
"DDAH1"	1.84510552026456	-1.08441723932646	0.000399705047523652	-2.64596461218085	5.61799174652427e-13	-3.73038185150731
"UGCG"	1.83948872421356	2.55602791743303	1.46512642471421e-16	1.1772168344796	1.43239206857808e-05	3.73324475191263
"LMOD3"	1.83528207516514	1.68587218949379	3.81983221771815e-05	1.81915532507349	1.2486603580627e-05	3.50502751456728
"GSK3A"	1.82745981309677	3.79922774490813	3.34509080343596e-07	0.7559494431277	0.0145441376787408	4.55517718803583
"PFKM"	1.82419637470377	2.60461103386183	1.67758754707534e-13	1.53615874712083	2.56912820803088e-06	4.14076978098265
"PCCB"	1.82093868310117	-2.1290453764942	1.11639968049708e-16	-0.947775916028665	2.36181201478556e-05	-3.07682129252287
"PABPC3"	1.8155245563014	-3.3275709392473	1.43136048234709e-09	-1.17093180444464	0.024320500329621	-4.49850274369195
"PKIG"	1.81491612275679	2.52359693847605	4.93684476806047e-10	2.40691582587354	1.24973859964101e-08	4.93051276434959
"PLSCR4"	1.81489987268734	-2.00399056401323	3.43150122066358e-06	-1.74530674715054	5.04812348922246e-05	-3.74929731116376
"GPNMB"	1.81331228012949	-4.2712150740277	6.88938177921393e-23	-5.19079449674718	1.72824263634949e-27	-9.46200957077488
"SCFD1"	1.81164735770028	-2.21226136801484	2.76184231137402e-16	-1.67584476841886	3.38861824410826e-11	-3.8881061364337
"ARHGAP18"	1.81096989684099	-2.84606776183942	1.76736107730924e-25	-1.22585944485747	6.29126462621124e-09	-4.07192720669689
"CLTB"	1.80976509248703	-1.53031175403899	9.56229833561156e-14	-1.42417364217959	3.29700698158027e-12	-2.95448539621858
"CRIM1"	1.80953268971263	-2.34136762034763	2.16532501546188e-13	-5.05691990472889	7.65170514493181e-31	-7.39828752507652
"ALDH18A1"	1.80485797043862	-1.67629671792504	3.25288702751364e-12	-1.39889646836835	2.72749025860837e-09	-3.07519318629339
"ABI2"	1.80281299087944	-2.08694367504243	1.60053128254042e-09	-1.53726039693286	4.2071849695896e-06	-3.62420407197529
"ERLIN1"	1.80257540374657	-3.51447132897428	5.22094247865715e-25	-2.5346530456253	9.22067196868926e-17	-6.04912437459958
"HNRNPF"	1.80054266131618	2.03792602213797	1.90907678839666e-17	1.30009594883222	1.43726014513776e-09	3.33802197097018
"NIFK"	1.79435714575459	-1.23623732020135	0.000264661687338805	-2.14848730487725	2.35694330215309e-09	-3.38472462507859
"UXT"	1.79285825113629	-2.35142770545169	7.07295890111274e-10	-3.52677789299509	1.83143618025289e-16	-5.87820559844678
"TMEM182"	1.79280004483262	4.80939659854237	1.41285955442837e-15	3.25653177849669	3.85380409368632e-09	8.06592837703906
"RNASET2"	1.78689522444652	1.10253457015465	2.94983444512051e-11	4.29107951881527	3.91938430576306e-43	5.39361408896993
"NAGK"	1.78217315106044	-1.77092099079684	2.08309615606741e-09	-3.21986489915711	4.65867517770813e-20	-4.99078588995396
"CD248"	1.77684705713547	-1.06758986922175	0.00176535217776656	-2.30784419869094	7.05875837435962e-10	-3.37543406791268
"XPO1"	1.772810408788	-1.93052854087621	2.64870034208563e-12	-1.27285035930417	1.05397657594503e-06	-3.20337890018038
"PSMF1"	1.76998940388576	-2.05379626429099	9.52724982147806e-08	-1.46058399162847	9.85056723491046e-05	-3.51438025591946
"RALA"	1.76841831704829	-1.13721574769815	1.50275033784439e-05	-1.92000448717153	2.32307505611141e-11	-3.05722023486968
"AC122413.2"	1.76630783561004	1.02486396681702	6.20354437598776e-05	4.21340891547764	1.73726131630212e-27	5.23827288229465
"AC164314.2"	1.76630783561004	1.02486396681702	6.20354437598776e-05	4.21340891547764	1.73726131630212e-27	5.23827288229465
"RNF103-CHMP3"	1.75438823663461	-1.26724820024674	6.59266509837942e-05	-2.57205782831318	1.35283008669459e-26	-3.83930602855992
"GIT2"	1.75403147244063	-1.87509390509171	5.95452996778124e-09	-2.53590624749122	3.20211806569298e-13	-4.41100015258293
"SMPX"	1.75307386273159	3.39861646582536	4.67620677546003e-09	1.51643579510675	0.00551349372254601	4.91505226093212
"PODN"	1.75296644447854	-3.73797197087366	3.49341390647539e-17	-1.61328915617353	1.90229640134514e-05	-5.35126112704719
"DDX23"	1.75021793114608	-3.11968916367027	5.79050331264098e-20	-1.92310328531	5.44162022226245e-11	-5.04279244898027
"HNRNPD"	1.74728407180677	-1.56656589256615	6.62929893803026e-10	-1.69261655767142	8.83037437770701e-11	-3.25918245023757
"GAA"	1.74703119982269	1.52209722615515	1.62140655612659e-15	2.22924385895161	7.1145660619239e-24	3.75134108510676
"WASHC3"	1.74511755547223	-3.42538077947374	2.74454509135108e-26	-1.89889099453639	1.11087219075337e-12	-5.32427177401013
"MALSU1"	1.7440632210646	-1.95396405685568	1.15535262765592e-13	-1.56802114562024	3.05972772197626e-10	-3.52198520247592
"SPRY2"	1.73663648910631	-1.40525351854968	6.63937101491966e-09	-1.54056488331432	6.15477094209165e-10	-2.945818401864
"MARCH2"	1.73518254105253	-2.86531844928171	9.28381297500817e-32	-1.40307591199864	1.91620623105541e-14	-4.26839436128035
"SLC6A6"	1.73435804926078	1.73579684751085	1.30890449632704e-08	1.79717117562228	7.77797676445929e-09	3.53296802313313
"PARP1"	1.73056473803089	-2.20424854625414	3.04318304010792e-40	-0.967214164805722	4.19811896678071e-17	-3.17146271105986
"GOLIM4"	1.73041411908907	-2.54980427627978	5.94541894926352e-11	-2.3802202029646	1.00615177427361e-09	-4.93002447924438
"CHMP3"	1.71852973683823	-1.26724820024674	3.31921005350352e-05	-2.50818487555088	5.20102563870899e-27	-3.77543307579762
"NXF1"	1.715703470528	-2.5133208289421	5.33973510304234e-39	-2.4843704120655	4.71576374582974e-38	-4.99769124100761
"BPGM"	1.71538322787222	-2.76981513673887	3.42487012833819e-30	-1.38800683333373	2.45203685359099e-13	-4.1578219700726
"TNNT1"	1.71136972497729	4.81131207798179	7.54054522411716e-25	1.23979978462686	0.000327174536412006	6.05111186260866
"SORBS2"	1.71121851368487	-1.99490801626377	8.05815258029581e-11	-1.81396278687681	2.46136657922933e-09	-3.80887080314058
"BZW2"	1.70803480705256	-1.38430361564134	7.8740574150687e-07	-1.90291785123646	1.83400000087097e-10	-3.2872214668778
"AC006254.1"	1.70431455761989	2.23326570682128	3.48063403049014e-11	4.9061431651618	1.30154302680596e-27	7.13940887198308
"ALDH7A1"	1.70356467889378	-2.75356528807668	4.37238476343229e-23	-1.82375941709358	4.29524984344538e-14	-4.57732470517026
"RNASET2B"	1.69527671223511	0.756882910447986	0.000175604877721284	3.94542785910861	4.37494335528952e-32	4.70231076955659
"JAM3"	1.69353093786274	-2.0895495174228	8.16456724092652e-13	-2.67624147688261	3.09016175043313e-17	-4.76579099430541
"CAV2"	1.69301692279371	-1.45368753212274	0.00054772383792875	-2.17738621111726	7.54341150130134e-07	-3.63107374323999
"IGFBP5"	1.68837403176341	5.71769636018216	7.16512400531341e-25	2.75575178764544	9.78315305296945e-10	8.47344814782761
"PAPOLA"	1.68600238321632	-1.49856358524676	1.84067018108671e-05	-3.07224453434336	9.77277806465908e-15	-4.57080811959012
"GM32717"	1.6812303729245	-2.24227874661271	4.1630466931224e-26	-1.85641582845585	2.98158905952465e-21	-4.09869457506855
"GM32802"	1.6812303729245	-2.24227874661271	4.1630466931224e-26	-1.85641582845585	2.98158905952465e-21	-4.09869457506855
"PSMA3"	1.67573043860773	1.8326615037239	9.39244086213043e-17	1.0980657574665	3.40719974467689e-08	2.9307272611904
"PSMA3L"	1.67573043860773	1.8326615037239	9.39244086213043e-17	1.0980657574665	3.40719974467689e-08	2.9307272611904
"ACSL1"	1.66772319272852	-2.65868228453447	2.27750936609781e-18	-2.27197052118977	9.58097008304278e-15	-4.93065280572424
"B4GALT1"	1.66342498226936	3.10288676235117	1.03789467845048e-16	1.3814400170904	2.29751088870161e-05	4.48432677944157
"AABR07002779.1"	1.66057396026389	-2.28997549949432	1.46239110352081e-10	-2.60207582563264	2.69203013777195e-12	-4.89205132512696
"MARCKSL1"	1.66057396026389	-2.28997549949432	1.46239110352081e-10	-2.60207582563264	2.69203013777195e-12	-4.89205132512696
"SNAPC3"	1.65732174938629	-2.15206269456538	4.57937236419182e-14	-1.71101841534396	4.48620846646565e-10	-3.86308110990934
"TENM3"	1.65650741662915	-2.43304244381092	1.29918720342102e-07	-1.11177065888066	0.0111226307604616	-3.54481310269158
"SCYL2"	1.65443285165785	-1.63566366078344	6.5379675149162e-05	-2.55488467831084	5.21039557946079e-09	-4.19054833909428
"NCBP2"	1.65169901331358	-1.8280762744622	5.22027283952662e-09	-1.2987086331921	2.0072053801429e-05	-3.1267849076543
"COPS3"	1.6461562799846	-3.02552422592938	5.52187561539849e-26	-3.4765889642204	2.58202993155791e-29	-6.50211319014978
"MPDU1"	1.64313018802231	-1.8704076525716	1.25269676889381e-14	-2.5319596668884	9.1992155953887e-21	-4.40236731946
"SFPQ"	1.63964078430417	-1.87955489082912	1.49661638435545e-12	-2.07284214127596	5.74265538518043e-14	-3.95239703210507
"ZDHHC9"	1.63566307488512	-1.6807167915726	1.38259419107773e-07	-2.46039426506783	1.3298963495656e-12	-4.14111105664043
"IFI27L2A"	1.63558790694272	-4.63120275878226	2.06096346639658e-47	-2.59133117020867	1.32646322131816e-28	-7.22253392899094
"G6PD"	1.63330455023016	-3.71745421887812	2.03840999344106e-21	-3.27035830664626	5.17186832455652e-18	-6.98781252552438
"GM45234"	1.62908078063831	1.70274549686903	1.66556954189741e-11	1.65210262465221	8.715361135006e-11	3.35484812152124
"FBXO11"	1.62880674492994	1.55051949932799	3.77496729960724e-20	1.5257325398404	1.86670603926823e-19	3.07625203916839
"GM24616"	1.62790180086335	0.884280204462957	0.0223086378944431	5.65110452452517	5.57165311078698e-24	6.53538472898813
"FXYD5"	1.62509967870961	-2.72978850720332	2.93531727477168e-22	-2.54320840034294	4.44341981431575e-20	-5.27299690754626
"UHRF1"	1.61663143748052	-3.02139606338869	7.47551395584204e-14	-1.10914820896896	0.00212385703662646	-4.13054427235765
"ARHGAP17"	1.61021712948389	-2.47769108948451	2.0742544198252e-17	-1.5357835468752	3.55224993621854e-09	-4.01347463635971
"BOLA3"	1.60174314345409	-1.44504481715596	4.18268713917984e-13	-2.29248053626386	1.27903906489919e-22	-3.73752535341982
"BUB3"	1.59526911100437	-1.52012028010794	2.26808996902583e-08	-1.38758766270868	3.50256285809162e-07	-2.90770794281662
"TPBG"	1.59349666243318	-3.03148787476698	5.8950917790529e-19	-0.975540443497345	0.000582584592181268	-4.00702831826432
"SVIL"	1.58702773207694	3.74928927104822	3.33690905888849e-42	1.32726958844801	4.57372619060631e-14	5.07655885949623
"GAS1"	1.58664001525261	3.71450866671035	3.53932076045581e-09	2.85718772073482	4.71822356473723e-17	6.57169638744517
"ZCCHC24"	1.58524142408078	1.48716195592307	3.54807758188133e-13	1.46553199726236	1.05851173388215e-12	2.95269395318543
"WNK1"	1.58288408933683	1.58208480621897	7.62595732698628e-07	1.49601841349958	3.52100363416027e-06	3.07810321971855
"PCGF5"	1.58256044634229	-2.94981983202616	1.86608288632985e-27	-1.11888130200016	6.07385397422233e-08	-4.06870113402632
"AP3S2"	1.58174380909116	-1.89365755112226	4.1134396850585e-13	-2.46115940727509	6.38107497900549e-18	-4.35481695839735
"NFIB"	1.581155435672	-1.74484892202421	4.99590659634319e-10	-1.81631934011757	2.30547794603306e-10	-3.56116826214178
"RWDD4"	1.57766221101543	-1.30830212177742	0.000374615645183679	-1.7146925681397	6.51106096833247e-06	-3.02299468991712
"RWDD4A"	1.57766221101543	-1.30830212177742	0.000374615645183679	-1.7146925681397	6.51106096833247e-06	-3.02299468991712
"IFI27L2"	1.5740007475442	-4.88035081271267	1.65038746310221e-45	-2.84047922413908	4.2485870352554e-28	-7.72083003685174
"IFI27L2B"	1.5740007475442	-4.88035081271267	1.65038746310221e-45	-2.84047922413908	4.2485870352554e-28	-7.72083003685174
"NNMT"	1.57270834948296	-1.23705831467294	2.14516147075328e-06	-5.81534923224308	3.45334382940503e-39	-7.05240754691602
"KHDRBS3"	1.57035943147298	-4.04031595957707	2.87329422362981e-34	-0.844710763993869	4.40469746616461e-05	-4.88502672357094
"SC5D"	1.56874162828821	-1.73458675466451	2.70559770993302e-08	-3.54945922388586	9.54825023786986e-21	-5.28404597855037
"COX14"	1.56685999868215	1.73319536145348	0.000105138274613596	2.88614589448455	2.00522772716415e-09	4.61934125593804
"DDX24"	1.56198543809495	-2.86026303703371	1.26427339086099e-44	-3.34994818245994	3.16872706291376e-49	-6.21021121949364
"NUCB2"	1.56037783162443	-2.27295270545972	2.72540658057155e-10	-1.81298144523066	2.63764418831726e-07	-4.08593415069039
"MT2"	1.55689691161871	3.77200180857507	1.09494231336818e-27	2.55814142503498	1.52050785562029e-17	6.33014323361005
"MT2A"	1.55689691161871	3.77200180857507	1.09494231336818e-27	2.55814142503498	1.52050785562029e-17	6.33014323361005
"CASP3"	1.55639244188876	-1.64315750373061	4.99883308378602e-12	-1.84035680279913	1.13014058422155e-13	-3.48351430652974
"NEWGENE_1586233"	1.55140136981936	-1.96186768375104	8.73813750059338e-07	-1.94823145929171	1.44986656983899e-06	-3.91009914304274
"TRIAP1"	1.55140136981936	-1.96186768375104	8.73813750059338e-07	-1.94823145929171	1.44986656983899e-06	-3.91009914304274
"RECK"	1.54675352623583	-2.44287008915059	5.78715897588353e-21	-2.38283559981366	6.21866645661262e-20	-4.82570568896424
"MOCS2"	1.54428234347164	-2.06356899472141	9.29191198965595e-13	-1.40930139913451	2.54012924698197e-07	-3.47287039385592
"PSMG3"	1.53617915485768	-2.82509000650697	5.54044726645165e-33	-1.69770164436297	1.85292548728635e-19	-4.52279165086995
"CHURC1"	1.53368381058275	-2.66172178740484	4.68714635194103e-20	-2.31057382585443	1.04958547662854e-16	-4.97229561325927
"EIF2S3"	1.53358064615982	-6.48504474745829	4.5160857259555e-55	-7.0703718685226	6.12689183188627e-58	-13.5554166159809
"SYNGR2"	1.53308661321824	1.29605505646098	4.24193050113037e-11	2.54055608152268	6.40434577478444e-25	3.83661113798366
"UBR4"	1.53110213114724	2.55364867099615	2.50637033549498e-14	1.17652910194011	9.22119668448948e-05	3.73017777293626
"NUP153"	1.52850086192583	-2.50995933250892	3.03926086687875e-14	-2.37147353818448	6.44833141336854e-13	-4.88143287069339
"TAOK1"	1.52759122681678	2.11669929724227	1.94986538929604e-15	1.29656594191814	7.21410482716256e-08	3.4132652391604
"ZDHHC6"	1.52470707518441	-2.8733901739561	5.1883927616394e-33	-1.04698079212161	8.10083823932342e-10	-3.92037096607771
"RTN2"	1.52468538002755	2.09285579074953	1.98208032212726e-10	2.23580138449118	3.6121674625787e-11	4.32865717524071
"MEGF10"	1.52435360234384	3.1475612294218	1.17552813931022e-18	1.98329278193644	1.90029276584318e-10	5.13085401135824
"PIP4P2"	1.52318009904432	1.17972265330862	0.000178128234295532	3.5709653616079	1.15551995752225e-19	4.75068801491651
"POLR3D"	1.52080677445331	-1.91616982721806	2.42156664264992e-22	-1.73819143266525	1.55265426669918e-19	-3.65436125988331
"RAB2B"	1.51839308611526	-1.77408747626159	1.72536163912069e-15	-1.58439596744267	3.47474879234231e-13	-3.35848344370426
"LRRC58"	1.51816679718863	4.2563940041226	6.07568799187609e-10	1.63201102071968	3.98570848857124e-08	5.88840502484228
"C1QTNF5"	1.51748387649181	-2.74986245095314	5.72272009044886e-19	-1.19717683803041	4.81040352295249e-06	-3.94703928898355
"NSF"	1.51624684736909	-1.45965641303623	3.66889048770477e-15	-2.26681666228966	3.02221306268086e-25	-3.7264730753259
"TULP3"	1.51367465469672	-1.62253297056246	1.03911900023395e-14	-2.95590572213136	1.13009544993214e-28	-4.57843869269382
"VOPP1"	1.51296832851884	-2.2835174799734	1.2116438188453e-13	-1.26941243971609	7.08605794223127e-06	-3.55292991968949
"UXS1"	1.51118070210585	-2.47526345776826	1.26602384528655e-09	-2.02783041048643	4.3638760167006e-07	-4.50309386825468
"UBLCP1"	1.50862379296533	-1.52697705310309	2.84588952495244e-08	-1.69541021461522	2.29215949062706e-09	-3.22238726771831
"AP3M1"	1.50549127160991	-1.28753582370329	8.48744322027159e-13	-1.55852235573982	2.3200224478907e-16	-2.84605817944311
"OSTM1"	1.50161622305478	-2.42572930938406	7.64866481707459e-23	-1.24175113335015	8.41120933581977e-10	-3.66748044273421
"TRAK2"	1.49872020878854	-1.68946504924566	2.141282108543e-13	-3.34347488997693	5.33425866201907e-29	-5.03293993922258
"RNPEP"	1.4907193060353	-2.68108535276411	2.65512254187932e-33	-2.48045447225744	2.21103462116443e-30	-5.16153982502155
"TIMM22"	1.49053175176747	-1.19807451220352	8.73462457232526e-08	-2.58972681750839	3.07120368165393e-21	-3.78780132971191
"AABR07011057.1"	1.4892910057019	5.50955680775371	6.09691329352551e-21	0.54776704615886	0.00205984103053164	6.05732385391257
"AP1B1"	1.48876683628522	1.11910729580039	7.35159380492906e-14	2.00343284607765	6.28459027007864e-27	3.12254014187804
"SEC16A"	1.48414875065907	1.82513465678165	1.46886466885178e-17	1.12686881905335	5.09751844327602e-09	2.952003475835
"AIF1L"	1.47915758931277	1.46341800093053	6.78667878104549e-08	1.62986203386716	5.16372593937082e-09	3.0932800347977
"DIRC2"	1.47760891849364	-2.13086173980172	1.61397952090347e-12	-2.37382797199139	3.78932804008116e-14	-4.50468971179312
"PBX3"	1.47442569735113	-2.82068786999255	1.9173471878137e-22	-1.29134890184169	6.26974840085321e-08	-4.11203677183425
"TRAPPC5"	1.47231165756682	-1.3187768371273	3.99205812609267e-09	-1.79148300477513	1.43624622744526e-13	-3.11025984190243
"GRAMD2B"	1.46891812072712	-1.42246880963928	2.36167839633721e-14	-4.45165280272644	4.01551089189791e-42	-5.87412161236572
"GRAMD3"	1.46891812072712	-1.42246880963928	2.36167839633721e-14	-4.45165280272644	4.01551089189791e-42	-5.87412161236572
"NDUFS4"	1.46797303388328	-2.27000623528442	3.87662760490991e-08	-2.14025273046892	2.61769808725452e-07	-4.41025896575334
"TMTC3"	1.46372467096794	-1.68667795488351	1.00972660846864e-08	-2.80646438769443	9.53073105404806e-17	-4.49314234257794
"AABR07005775.1"	1.46094151932004	1.99062026458307	2.28557659688268e-11	4.52364298028937	1.79457269226918e-29	6.51426324487244
"ATP2A1"	1.46094151932004	1.99062026458307	2.28557659688268e-11	4.52364298028937	1.79457269226918e-29	6.51426324487244
"HINT2"	1.45746852513175	-1.82695451357355	1.18945972565579e-11	-1.16569898486242	4.77346166608957e-06	-2.99265349843597
"SPATS2"	1.45743834663698	1.8301346883311	3.94342933295602e-18	1.73825498446506	1.23216678857435e-16	3.56838967279615
"CNOT7"	1.45620140750241	-1.42413113055217	0.000659629310233015	-2.38081150846366	7.91464483276457e-08	-3.80494263901583
"AABR07028352.1"	1.45361467737207	-2.85838797426972	3.86418392425475e-22	-0.958841410053241	5.03636920530477e-05	-3.81722938432296
"ANLN"	1.45361467737207	-2.85838797426972	3.86418392425475e-22	-0.958841410053241	5.03636920530477e-05	-3.81722938432296
"TMEM69"	1.44817935933498	-1.6084949627758	9.28962056371413e-25	-1.8316785731073	9.43956495302313e-28	-3.4401735358831
"NEWGENE_1308171"	1.44725301174283	2.71738408817934	5.01402447124652e-10	6.13601305379327	5.62130576077492e-27	8.85339714197261
"R3HDM1"	1.4433292597806	-2.34908900968829	7.68174269403718e-13	-1.08206630675987	0.000298565438321107	-3.43115531644816
"PMPCA"	1.43931657958618	1.26830685033294	1.43977928953014e-12	1.92684679059043	1.3576062208202e-20	3.19515364092336
"CRBN"	1.43793123707032	1.36262340927524	3.13892046766178e-09	1.47589302832408	3.98142187556402e-10	2.83851643759931
"SMC6"	1.43571597365362	-2.4806009076675	2.38653970013517e-15	-1.22140118098575	1.26503709506962e-05	-3.70200208865325
"TBCD"	1.43557207738979	1.17616884077848	0.000436253218751072	2.0698129514988	8.33095699732934e-09	3.24598179227728
"TMCO3"	1.42844778656068	-1.59952174352868	3.70204158155074e-13	-1.75336601868304	1.51862786340877e-14	-3.35288776221172
"CKAP5"	1.42609302922352	-2.23728952304928	2.32475053253598e-29	-1.92129375512193	1.22189723210097e-24	-4.15858327817121
"P3H4"	1.42590465652037	1.50887983855376	2.90125091259975e-09	1.73041558297841	5.86003343399453e-11	3.23929542153217
"U2SURP"	1.42345529081042	-2.39899108847357	5.42094911371679e-18	-1.82679725114452	2.17798179172219e-12	-4.22578833961808
"SLC16A1"	1.42340567571331	-1.77549702187208	1.46959615335697e-05	-1.12876595970417	0.00553130072172538	-2.90426298157625
"AC009690.1"	1.41902172548391	1.26497456124337	7.71296201317616e-10	5.58733967264954	4.39757742432668e-47	6.85231423389291
"LYPLA2"	1.41646628536986	1.65653212443423	4.33160469768425e-24	1.88092350894527	5.35507321467566e-27	3.5374556333795
"SMAD3"	1.41045860192552	-1.5247533627611	0.000105775469686998	-2.44417870481049	3.75740831545119e-09	-3.9689320675716
"HFE2"	1.40934866029612	1.63335804639605	0.000236990596517439	2.5224100946355	7.7888692544441e-08	4.15576814103155
"HJV"	1.40934866029612	1.63335804639605	0.000236990596517439	2.5224100946355	7.7888692544441e-08	4.15576814103155
"STX16"	1.40548188421315	1.35174458820733	1.53792850273073e-05	1.75387672761581	7.46009278282395e-08	3.10562131582314
"POLE4"	1.40461408215368	-2.95910071842271	5.20055212035455e-09	-1.26674824155557	0.00866043062902127	-4.22584895997828
"AKAP13"	1.40278340802016	-1.95224707449425	1.99566638893659e-13	-1.62437963788912	2.48150264790335e-10	-3.57662671238337
"DNAJC19"	1.40123232355752	-3.12017257950238	1.88673050804032e-31	-0.838445088713487	6.24509214647626e-06	-3.95861766821587
"AAMP"	1.39539665900816	3.49154449845751	1.19950880545003e-19	2.70000784154931	6.2828912816199e-14	6.19155234000682
"RHBDF1"	1.3944994878734	1.24379041019496	2.03860751438753e-08	1.82873942799161	6.63892594658783e-14	3.07252983818656
"OGN"	1.39323854372821	2.86254797096866	9.32026415623122e-11	6.13601305379327	5.99033538048562e-27	8.99856102476193
"TBC1D23"	1.392773835264	-1.86564955495464	6.50261731739e-12	-2.32652338312214	1.42553279485304e-15	-4.19217293807678
"NFAT5"	1.39171317941146	-2.06659340006934	4.24531139480662e-06	-2.23515297723383	1.07785929597505e-06	-4.30174637730317
"PRRX1"	1.38371496581013	-1.14558040493933	0.000604974570034954	-3.24681037307082	3.44040296867979e-16	-4.39239077801015
"G6PD2"	1.38170638066822	-4.73528317756051	1.55546331654776e-27	-4.28818726532866	2.40586107294334e-24	-9.02347044288916
"PFKP"	1.37838762095373	-1.26350116577534	1.23019607688211e-05	-1.73278265903555	7.87869920217744e-09	-2.99628382481089
"RHOT1"	1.37583835207175	-1.95648053253953	2.52341354206661e-15	-1.13134473236944	4.77432724702793e-07	-3.08782526490897
"IFT43"	1.37298467432751	1.25103090603262	1.11427082340341e-09	2.04063554105764	6.90094840249886e-18	3.29166644709026
"XRCC6"	1.37122755138892	-1.69946461529026	1.47620206902221e-19	-4.05302680745132	4.77913382632473e-44	-5.75249142274157
"GBE1"	1.37091106413729	-2.76623390498225	8.88715822274388e-12	-4.1572630539462	2.15054419856789e-19	-6.92349695892845
"CAMK2G"	1.37029871531131	1.55320218807302	3.44244858592252e-07	1.81470045451847	8.74838154986502e-09	3.36790264259149
"UCHL1"	1.37014826175581	-1.76492155172212	1.26733088435069e-09	-4.84825657300534	1.67687382462186e-31	-6.61317812472746
"PRMT2"	1.36851520964232	1.31071362361126	1.08206790606839e-12	1.55975105598631	1.42568312979908e-15	2.87046467959757
"AQR"	1.36634126530349	-2.52107676979171	8.09092279060973e-23	-1.75335104621015	2.25789172937978e-14	-4.27442781600186
"TFRC"	1.35957842293192	-1.68166433458287	6.26833986115125e-07	-2.43579344263759	2.10646664391193e-11	-4.11745777722045
"PISD"	1.35832090684387	1.18084165851797	7.45544475173315e-10	1.9464633718848	1.18206343766417e-17	3.12730503040277
"GLYR1"	1.3577470806211	1.90263319316593	2.50792313981178e-09	1.381376620378	7.39298480457315e-06	3.28400981354392
"KIF1C"	1.35633764595502	-1.65037647911646	0.0111683228055367	-1.58031906513718	4.94124709949129e-07	-3.23069554425363
"PDLIM2"	1.34923186695815	2.12123271570583	1.18842850902002e-19	3.29984328600966	4.86299202457824e-29	5.42107600171549
"PRPF38A"	1.34682883482269	-2.08679667034534	3.22326322097881e-29	-1.68325460542625	6.72498664350256e-23	-3.7700512757716
"TGFBI"	1.34499035266206	-1.14981141264012	4.74379300618763e-08	-7.9832412027772	1.05693171954802e-57	-9.13305261541733
"COL15A1"	1.34350248243908	-4.32241984739545	2.48010737777754e-33	-2.49939039081527	2.90448547109875e-18	-6.82181023821072
"DCUN1D5"	1.33797197197468	-1.9715954540386	2.6851824349263e-10	-1.34182980606005	7.71048394168325e-06	-3.31342526009865
"SH2B3"	1.33692971597917	-1.40716269357989	4.07054710652623e-12	-1.73042152881414	1.5278587912182e-15	-3.13758422239403
"GCLM"	1.33669803502764	1.86734917979985	3.22621057866311e-14	2.46737168899596	5.16327363423512e-20	4.33472086879581
"TOP2B"	1.33662416529614	-1.68527651854838	8.31454314216776e-07	-2.09605959850725	4.59690408002764e-09	-3.78133611705562
"CDC73"	1.33499895942329	-2.3809017193698	2.91663197648421e-11	-3.10401674200912	1.21980037062022e-15	-5.48491846137892
