"AveExpr"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_HumanCell"	"FDR_HumanCell"	"LogFC_mean"
"CLIC1"	3.96118985476926	-1.57993316923489	9.85892852410553e-10	-1.59793898361381	1.16718305620991e-09	-3.1778721528487
"HNRNPK"	3.95255242834051	-1.74427471105995	2.51912492809688e-06	-1.72879363828066	4.17513874830883e-06	-3.47306834934061
"ALDOA"	3.92435849251074	-3.0524768164041	5.13302528315086e-10	-1.26162513155642	0.0063048194588311	-4.31410194796052
"PPP1CC"	3.8596094553568	-2.24760677363015	2.25751587827647e-16	-1.64419929862048	1.42822594045513e-10	-3.89180607225063
"AC068580.4"	3.8589784156914	1.26096221160137	4.96625182476499e-06	3.09475736103286	9.39977680706919e-20	4.35571957263423
"GNG10"	3.85060955284555	-2.03552442028239	2.58655832859712e-13	-2.12063387864882	5.99977166457795e-13	-4.15615829893121
"FHL1"	3.84429458042897	-2.65059785773665	4.34683710038917e-15	-2.59575316241845	2.37427201589325e-14	-5.2463510201551
"CALM2"	3.84187665613202	2.43882527036735	0.00552883124030274	1.65652899344792	4.77317116997513e-05	4.09535426381528
"PDIA3"	3.83904346364003	-2.09558417509358	8.37210089757515e-11	-1.85893016299037	6.28070548682502e-09	-3.95451433808395
"YWHAG"	3.78817396613543	-1.81709013135812	1.58379883605487e-14	-1.96118018964303	1.15496244489692e-15	-3.77827032100115
"HMGN2"	3.75331580944616	-3.68669195145289	1.64833701551567e-13	-2.56993496729473	2.98286917918601e-08	-6.25662691874761
"TM9SF2"	3.74498884202664	-1.29872089318922	1.41152175506751e-05	-1.84230678962072	5.87563704415742e-09	-3.14102768280994
"AABR07015596.1"	3.7281227669835	5.68911791698889	1.17498855381176e-13	1.73012093993652	1.69047180743938e-08	7.4192388569254
"ERH"	3.70927124747766	-1.79872838452649	2.34531009969558e-09	-1.55738114516527	1.87993341817371e-07	-3.35610952969177
"AC093512.2"	3.70378079924233	-3.91402680881972	1.27567050198069e-13	-2.13505784095002	1.03662129322199e-05	-6.04908464976974
