"AveExpr"	"LogFC_MouseC2C12"	"FDR_MouseC2C12"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_mean"
"HMGN1"	4.22757559095457	-1.77781704940928	5.53633040292603e-07	-2.7297436172181	3.48835180784406e-15	-4.50756066662739
"SLC38A2"	4.22671088661798	3.37358665175055	2.7722987363731e-19	1.40234899507157	3.89392133666956e-07	4.77593564682213
"PPP1CA"	4.19962555538429	-1.57248619727986	5.0907251834908e-32	-1.50983395006719	1.50272865998243e-38	-3.08232014734705
"PEA15"	4.18190136655177	1.95051243810543	1.6641468599863e-15	1.30446044337051	1.39132705437191e-10	3.25497288147594
"PEA15A"	4.18190136655177	1.95051243810543	1.6641468599863e-15	1.30446044337051	1.39132705437191e-10	3.25497288147594
"COX6C"	4.16717085729334	-1.48514298003625	0.000143276190492813	-2.57285018896662	6.21578400564992e-12	-4.05799316900287
"CTSD"	4.16165931821435	-2.2529261008909	4.19306071531553e-11	-0.99196388928953	0.000298582063209632	-3.24488999018043
"EIF3L"	4.14618106696468	2.82020896804561	1.27057616061757e-16	0.895955864228143	0.000383734826075087	3.71616483227376
"ATP5A1"	4.1328043529386	-1.89709167385788	4.34757135743331e-06	-1.67865822642833	5.2107663969188e-06	-3.57574990028621
"TPI1"	4.13041238718373	-2.07646658295492	3.54322421821876e-23	-1.89654195251973	2.07485482674679e-24	-3.97300853547465
"AC135409.1"	4.06202498500187	-3.91756342405406	1.94969907388126e-21	-4.14186484415762	1.38250741008958e-29	-8.05942826821169
"AC141489.1"	4.00335187743513	-3.91756342405406	1.01051579657103e-20	-4.15239388307776	4.51047339066265e-28	-8.06995730713182
"S100A6"	3.97595392511839	-4.38153448802314	6.12454173567684e-40	-4.67671948866513	7.32978060817248e-46	-9.05825397668827
"ACTN1"	3.97544920349088	2.83156422753715	2.13099488038358e-14	1.10869899413834	0.00010102735677197	3.94026322167549
"AKR1A1"	3.96988674105015	-2.44044101399134	3.02404369439304e-20	-2.61737116223181	1.55748096504836e-25	-5.05781217622314
"COX7A2"	3.95546738172661	-1.85321329439226	6.89985071154607e-09	-2.73767761390824	2.4257060985426e-17	-4.5908909083005
